"name","member_id","year","assembly","party","camp","seniority","n_seminars","n_cross_party","cross_party_ratio","avg_coalition_size","is_governing","is_female","is_proportional","is_seoul","province","total_terms","n_bills_led"
"강은미","WMG57662",2023,21,"정의당","진보계",1,75,55,0.7333,6.83,FALSE,TRUE,TRUE,FALSE,"비례대",1,91
"강은미",NA,2024,22,"정의당","진보계",2,9,7,0.7778,5,FALSE,TRUE,TRUE,FALSE,"비례대",1,0
"강은희","3MR75193",2012,19,"새누리당","보수계",1,7,1,0.1429,1.57,TRUE,TRUE,TRUE,FALSE,"비례대",1,90
"강은희","3MR75193",2013,19,"새누리당","보수계",1,9,2,0.2222,1.56,TRUE,TRUE,TRUE,FALSE,"비례대",1,90
"강은희","3MR75193",2014,19,"새누리당","보수계",1,11,4,0.3636,2.27,TRUE,TRUE,TRUE,FALSE,"비례대",1,90
"강은희","3MR75193",2015,19,"새누리당","보수계",1,8,2,0.25,1.25,TRUE,TRUE,TRUE,FALSE,"비례대",1,90
"강재섭","IU67432G",2005,17,"한나라당","보수계",1,2,0,0,3,FALSE,FALSE,FALSE,FALSE,"대구광",1,5
"강준현","5KV96424",2020,21,"더불어민주당","민주계",1,6,1,0.1667,21.33,TRUE,FALSE,FALSE,FALSE,"세종특",1,62
"강준현","5KV96424",2021,21,"더불어민주당","민주계",1,11,6,0.5455,21.45,TRUE,FALSE,FALSE,FALSE,"세종특",1,62
"강준현","5KV96424",2022,21,"더불어민주당","민주계",1,7,2,0.2857,17.43,FALSE,FALSE,FALSE,FALSE,"세종특",1,62
"강준현","5KV96424",2023,21,"더불어민주당","민주계",1,9,5,0.5556,15.89,FALSE,FALSE,FALSE,FALSE,"세종특",1,62
"강준현","5KV96424",2024,22,"더불어민주당","민주계",2,23,3,0.1304,15.3,FALSE,FALSE,FALSE,FALSE,"세종특",1,58
"강준현","5KV96424",2025,22,"더불어민주당","민주계",2,27,3,0.1111,11.59,FALSE,FALSE,FALSE,FALSE,"세종특",1,58
"강창일","TOU1222X",2004,17,"민주당","민주계",1,4,1,0.25,2,TRUE,FALSE,FALSE,FALSE,"제주",4,40
"강창일","TOU1222X",2005,17,"민주당","민주계",1,12,2,0.1667,1.58,TRUE,FALSE,FALSE,FALSE,"제주",4,40
"강창일","TOU1222X",2006,17,"민주당","민주계",1,1,0,0,2,TRUE,FALSE,FALSE,FALSE,"제주",4,40
"강창일","TOU1222X",2007,17,"열린우리당","민주계",1,6,0,0,1,TRUE,FALSE,FALSE,FALSE,"제주",4,40
"강창일","TOU1222X",2008,18,"민주당","민주계",2,4,2,0.5,1.5,FALSE,FALSE,FALSE,FALSE,"제주",4,197
"강창일","TOU1222X",2009,18,"민주당","민주계",2,7,2,0.2857,1.57,FALSE,FALSE,FALSE,FALSE,"제주",4,197
"강창일","TOU1222X",2010,18,"민주당","민주계",2,3,0,0,1.33,FALSE,FALSE,FALSE,FALSE,"제주",4,197
"강창일","TOU1222X",2011,18,"민주당","민주계",2,7,3,0.4286,1.86,FALSE,FALSE,FALSE,FALSE,"제주",4,197
"강창일","TOU1222X",2012,19,"민주당","민주계",3,12,1,0.0833,2.17,FALSE,FALSE,FALSE,FALSE,"제주",4,174
"강창일","TOU1222X",2013,19,"새정치민주연합","민주계",3,15,9,0.6,5.67,FALSE,FALSE,FALSE,FALSE,"제주",4,174
"강창일","TOU1222X",2014,19,"새정치민주연합","민주계",3,11,5,0.4545,2.82,FALSE,FALSE,FALSE,FALSE,"제주",4,174
"강창일","TOU1222X",2015,19,"새정치민주연합","민주계",3,12,5,0.4167,2,FALSE,FALSE,FALSE,FALSE,"제주",4,174
"강창일","TOU1222X",2016,20,"더불어민주당","민주계",4,8,0,0,4.38,FALSE,FALSE,FALSE,FALSE,"제주",4,89
"강창일","TOU1222X",2017,20,"더불어민주당","민주계",4,14,2,0.1429,6.79,TRUE,FALSE,FALSE,FALSE,"제주",4,89
"강창일","TOU1222X",2018,20,"더불어민주당","민주계",4,14,3,0.2143,3.86,TRUE,FALSE,FALSE,FALSE,"제주",4,89
"강창일","TOU1222X",2019,20,"더불어민주당","민주계",4,29,7,0.2414,5.97,TRUE,FALSE,FALSE,FALSE,"제주",4,89
"강창일",NA,2020,21,"더불어민주당","민주계",5,1,0,0,1,TRUE,FALSE,FALSE,FALSE,"제주",4,0
"강혜숙","IUR8211H",2005,17,"국민중심당","민주계",1,1,0,0,3,TRUE,TRUE,TRUE,FALSE,"비례대",1,9
"강혜숙","IUR8211H",2006,17,"국민중심당","민주계",1,5,1,0.2,1.6,TRUE,TRUE,TRUE,FALSE,"비례대",1,9
"강혜숙","IUR8211H",2007,17,"열린우리당","민주계",1,4,0,0,1.25,TRUE,TRUE,TRUE,FALSE,"비례대",1,9
"강효상","9WQ7845Z",2016,20,"새누리당","보수계",1,6,0,0,1.83,TRUE,FALSE,TRUE,FALSE,"비례대",1,74
"강효상","9WQ7845Z",2017,20,"자유한국당","보수계",1,8,0,0,1.25,FALSE,FALSE,TRUE,FALSE,"비례대",1,74
"강효상","9WQ7845Z",2018,20,"자유한국당","보수계",1,7,2,0.2857,4.43,FALSE,FALSE,TRUE,FALSE,"비례대",1,74
"강효상","9WQ7845Z",2019,20,"자유한국당","보수계",1,8,4,0.5,17.88,FALSE,FALSE,TRUE,FALSE,"비례대",1,74
"강훈식","TRE2429O",2016,20,"더불어민주당","민주계",1,6,1,0.1667,5.83,FALSE,FALSE,FALSE,FALSE,"충남",3,75
"강훈식","TRE2429O",2017,20,"더불어민주당","민주계",1,9,3,0.3333,6.67,TRUE,FALSE,FALSE,FALSE,"충남",3,75
"강훈식","TRE2429O",2018,20,"더불어민주당","민주계",1,7,2,0.2857,5.86,TRUE,FALSE,FALSE,FALSE,"충남",3,75
"강훈식","TRE2429O",2019,20,"더불어민주당","민주계",1,9,1,0.1111,11.44,TRUE,FALSE,FALSE,FALSE,"충남",3,75
"강훈식","TRE2429O",2020,21,"더불어민주당","민주계",2,6,3,0.5,6.5,TRUE,FALSE,FALSE,FALSE,"충남",3,71
"강훈식","TRE2429O",2021,21,"더불어민주당","민주계",2,3,1,0.3333,39.33,TRUE,FALSE,FALSE,FALSE,"충남",3,71
"강훈식","TRE2429O",2022,21,"더불어민주당","민주계",2,21,15,0.7143,14.9,FALSE,FALSE,FALSE,FALSE,"충남",3,71
"강훈식","TRE2429O",2023,21,"더불어민주당","민주계",2,33,22,0.6667,7.03,FALSE,FALSE,FALSE,FALSE,"충남",3,71
"강훈식","TRE2429O",2024,22,"더불어민주당","민주계",3,17,4,0.2353,19.18,FALSE,FALSE,FALSE,FALSE,"충남",3,24
"강훈식","TRE2429O",2025,22,"무소속","기타",3,11,0,0,9,FALSE,FALSE,FALSE,FALSE,"충남",3,24
"경대수","23D73143",2013,19,"새누리당","보수계",1,1,0,0,1,TRUE,FALSE,FALSE,FALSE,"충북",2,50
"경대수","23D73143",2015,19,"새누리당","보수계",1,3,1,0.3333,1.33,TRUE,FALSE,FALSE,FALSE,"충북",2,50
