"member_id","assembly","name","name_hanja","name_eng","party","party_elected","district","district_type","committees","gender","birth_date","seniority","n_bills","n_bills_lead"
"M3Z17237",20,"김재경","金在庚","KIM JAEKYUNG","자유한국당","새누리당","경남 진주시을","constituency","외교통일위원회, 헌법개정 및 정치개혁 특별위원회, 미세먼지 대책 특별위원회, 과학기술정보방송통신위원회, 헌법개정 특별위원회, 정치발전 특별위원회, 미래창조과학방송통신위원회","M",1961-10-10,4,417,27
"QZU9232M",20,"김재원","金在原","KIM JAEWON","자유한국당","자유한국당","경북 상주시군위군의성군청송군","constituency","예산결산특별위원회, 정치개혁 특별위원회, 에너지 특별위원회, 문화체육관광위원회, 교육문화체육관광위원회, 정치개혁 특별위원회, 국토교통위원회","M",1964-12-20,3,411,22
"6RP89579",20,"김정우","金政祐","KIM CHUNGWOO","더불어민주당","더불어민주당","경기 군포시갑","constituency","여성가족위원회, 4차 산업혁명 특별위원회, 기획재정위원회, 안전행정위원회","M",1968-06-18,1,2170,109
"E1J8836Y",20,"김정재","金汀才","KIM JUNGJAE","자유한국당","새누리당","경북 포항시북구","constituency","국토교통위원회","F",1966-02-15,3,1240,89
"9LD2641Q",20,"김정호","金禎鎬","KIM JUNGHO","더불어민주당","더불어민주당","경남 김해시을","constituency","기후위기 특별위원회, 산불피해지원대책 특별위원회, 기후에너지환경노동위원회","M",1960-06-18,3,389,42
"64G6894C",20,"김정훈","金正薰","KIM JUNGHOON","자유한국당","새누리당","부산 남구갑","constituency","정무위원회, 산업통상자원중소벤처기업위원회, 헌법개정 특별위원회, 산업통상자원위원회","M",1957-11-03,4,186,17
"I0F2578R",20,"김종대","金鍾大","KIM JONGDAE","정의당","정의당","비례대표","proportional","남북경제협력 특별위원회, 예산결산특별위원회, 남북관계개선 특별위원회, 국방위원회","M",1966-11-13,1,756,27
"M2Q9024I",20,"김종민","金鍾民","KIM JONGMIN","더불어민주당","더불어민주당","충남 논산시계룡시금산군","constituency","산업통상자원중소벤처기업위원회, 기후위기 특별위원회","M",1964-05-12,3,1074,60
"06X3845L",20,"김종석","金鍾奭","KIM JONGSEOK","자유한국당","새누리당","비례대표","proportional","윤리특별위원회, 4차 산업혁명 특별위원회, 예산결산특별위원회, 남북관계개선 특별위원회, 정무위원회, 외교통일위원회","M",1955-08-01,1,539,34
"E5N8503B",20,"김종인","金鍾仁","KIM CHONGIN","더불어민주당","더불어민주당","비례대표","proportional","기획재정위원회","M",1940-07-11,5,19,1
"K1Y45873",20,"김종태","金鍾泰","KIM JONGTAE","새누리당","새누리당","경북 상주시군위군의성군청송군","constituency","국토교통위원회","M",1949-03-16,2,124,10
"HTK5293K",20,"김종회","金鍾懷","KIM JONGHOE","국민의당","국민의당","전북 김제시부안군","constituency","과학기술정보방송통신위원회, 예산결산특별위원회, 농림축산식품해양수산위원회","M",1965-08-24,1,2003,180
"A935446Z",20,"김종훈","金鍾勳","KIM JONGHOON","무소속","무소속","울산 동구","constituency","과학기술정보방송통신위원회, 예산결산특별위원회, 청년미래 특별위원회, 산업통상자원중소벤처기업위원회, 산업통상자원위원회, 윤리특별위원회","M",1964-07-03,1,484,20
"SY09851R",20,"김중로","金中魯","KIM JOONGRO","국민의당","국민의당","비례대표","proportional","청년미래 특별위원회, 국방위원회","M",1950-10-27,1,1071,89
"N6C1899K",20,"김진태","金鎭台","KIM JINTAE","자유한국당","새누리당","강원 춘천시","constituency","행정안전위원회, 정무위원회, 헌법개정 및 정치개혁 특별위원회, 대법관(민유숙·안철상) 임명동의에 관한 인사청문특별위원회, 대법관(김재형) 임명동의에 관한 인사청문특별위원회, 법제사법위원회","M",1964-10-13,2,332,35
"Q9H5708M",20,"김진표","金振杓","KIM JINPYO","더불어민주당","더불어민주당","경기 수원시무","constituency","","M",1947-05-04,5,330,20
"1MU99298",20,"김철민","金哲玟","KIM CHEOLMIN","더불어민주당","더불어민주당","경기 안산시상록구을","constituency","","M",1957-02-15,2,2433,130
"1WE5693J",20,"김태년","金太年","KIM TAENYEON","더불어민주당","더불어민주당","경기 성남시수정구","constituency","재정경제기획위원회","M",1965-03-20,5,469,30
"TVF3669B",20,"김태흠","金泰欽","KIM TAEHEUM","자유한국당","새누리당","충남 보령시서천군","constituency","","M",1963-01-11,3,696,36
"F5U2979W",20,"김학용","金學容","KIM HACKYONG","자유한국당","새누리당","경기 안성시","constituency","","M",1961-12-10,4,463,52
"09I2323E",20,"김한정","金漢正","KIM HANJUNG","더불어민주당","더불어민주당","경기 남양주시을","constituency","","M",1963-09-06,2,453,37
"YBM9779M",20,"김한표","金漢杓","KIM HANPYO","자유한국당","새누리당","경남 거제시","constituency","국회운영위원회, 교육위원회, 교육문화체육관광위원회, 예산결산특별위원회, 정무위원회","M",1954-08-24,2,352,26
"6QU2958D",20,"김해영","金海永","KIM HAEYOUNG","더불어민주당","더불어민주당","부산 연제구","constituency","에너지 특별위원회, 교육위원회, 농림축산식품해양수산위원회, 청년미래 특별위원회, 헌법재판소장(이진성) 임명동의에 관한 인사청문특별위원회, 정무위원회","M",1977-01-02,1,2392,112
"MPV9321A",20,"김현권","金玄權","KIM HYUNKWON","더불어민주당","더불어민주당","비례대표","proportional","재난안전 대책 특별위원회, 예산결산특별위원회, 농림축산식품해양수산위원회","M",1963-04-06,1,1650,87
"9XB6464U",20,"김현미","金賢美","KIM HYUNMEE","더불어민주당","더불어민주당","경기 고양시정","constituency","농림축산식품해양수산위원회, 보건복지위원회, 과학기술정보방송통신위원회, 미래창조과학방송통신위원회, 기획재정위원회, 예산결산특별위원회","F",1962-11-29,3,466,29
"CXA6162I",20,"김현아","金炫我","KIM HYUNAH","자유한국당","새누리당","비례대표","proportional","국무총리(정세균) 임명동의에 관한 인사청문특별위원회, 정치개혁 특별위원회, 국회운영위원회, 문화체육관광위원회, 남북경제협력 특별위원회, 교육위원회, 교육문화체육관광위원회, 여성가족위원회, 미세먼지 대책 특별위원회, 민생경제 특별위원회, 국토교통위원회","F",1969-08-19,1,892,74
"SLW27496",20,"나경원","羅景垣","NA KYUNGWON","자유한국당","새누리당","서울 동작구을","constituency","법제사법위원회","F",1963-12-06,5,321,42
"04T3751T",20,"남인순","南仁順","NAM INSOON","더불어민주당","더불어민주당","서울 송파구병","constituency","보건복지위원회, 연금개혁 특별위원회","F",1958-11-05,4,1189,141
"0827740Q",20,"노웅래","盧雄來","NOH WOONGRAE","더불어민주당","더불어민주당","서울 마포구갑","constituency","","M",1957-08-03,4,1943,148
"GN240959",20,"노회찬","魯會燦","ROH HOECHAN","정의당","정의당","경남 창원시성산구","constituency","국토교통위원회, 정보위원회, 사법개혁특별위원회, 감사원장(최재형) 임명동의에 관한 인사청문특별위원회, 헌법개정 특별위원회, 국회운영위원회, 법제사법위원회","M",1956-08-31,3,385,57
"J2O8643H",20,"도종환","都鍾煥",NA,"더불어민주당","더불어민주당","충북 청주시흥덕구","constituency","","M",1955-09-27,3,417,30
"FJK3396E",20,"맹성규","孟聖奎","MAENG SUNGKYU","더불어민주당","더불어민주당","인천 남동구갑","constituency","국토교통위원회","M",1962-04-05,3,479,21
"TGL10010",20,"문미옥","文美玉","MUN MIOCK","더불어민주당","더불어민주당","비례대표","proportional","미래일자리 특별위원회, 미래창조과학방송통신위원회, 여성가족위원회","F",1968-12-20,1,603,33
"WV97281W",20,"문진국","文鎭國","MOON JINKOOK","자유한국당","새누리당","비례대표","proportional","환경노동위원회","M",1949-02-01,1,1005,51
"IYD4143Y",20,"문희상","文喜相","MOON HEESANG","더불어민주당","더불어민주당","경기 의정부시갑","constituency","외교통일위원회","M",1945-03-03,6,472,24
"Y3E8697I",20,"민경욱","閔庚旭","MIN KYUNGWOOK","자유한국당","새누리당","인천 연수구을","constituency","법제사법위원회, 헌법재판소 재판관 선출에 관한 인사청문특별위원회, 국토교통위원회, 과학기술정보방송통신위원회, 국회운영위원회, 미래창조과학방송통신위원회, 예산결산특별위원회","M",1963-06-17,1,738,102
"39P2522W",20,"민병두","閔丙두","MIN BYUNGDOO","더불어민주당","더불어민주당","서울 동대문구을","constituency","평창동계올림픽 및 국제경기대회지원 특별위원회, 정무위원회","M",1958-06-10,3,961,81
"O6D8329R",20,"민홍철","閔洪喆","MIN HONGCHUL","더불어민주당","더불어민주당","경남 김해시갑","constituency","국토교통위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회","M",1961-04-18,4,1179,98
